file,r_i_glide_gscore,r_i_docking_score
D383-0050,-10.2241857206882,-10.2182857206882
Y040-5163,-10.2972735560931,-10.1223735560931
D016-0575,-10.0898210005468,-10.0849210005468
C561-3025,-10.0754070949467,-10.0619070949467
Y041-6106,-10.3865823281013,-9.97588232810128
D077-0408,-9.95104022569341,-9.95104022569341
D077-0361,-9.89176966899343,-9.89176966899343
J108-0620,-9.87950297480122,-9.87950297480122
S625-0196,-10.0229853630566,-9.86818536305658
C169-0322,-9.86756269220269,-9.86756269220269
C169-0394,-9.86559004531882,-9.86559004531882
D077-0382,-9.80519448934113,-9.80519448934113
D077-0347,-9.80030182068763,-9.80030182068763
L834-0635,-9.79152197521247,-9.79152197521247
K227-0083,-9.7519472114424,-9.7519472114424
G938-1461,-9.79456373589781,-9.74736373589781
F076-0111,-9.73754100102548,-9.73754100102548
T226-1175,-9.7288237092904,-9.7288237092904
5918-0986,-9.9766691072407,-9.7232691072407
C463-0340,-9.7638429924095,-9.7225429924095
D600-0211,-9.70635839848353,-9.70635839848353
T226-1147,-9.70299927480449,-9.70299927480449
D077-0395,-9.69036109387967,-9.69036109387967
M628-0344,-9.6799988768704,-9.6799988768704
D252-0005,-9.67813398515158,-9.67813398515158
8020-2226,-9.66597321296322,-9.66597321296322
0466-0173,-9.66275126917276,-9.66275126917276
D016-0642,-9.85050979652913,-9.66040979652913
D437-0144,-9.65929196151544,-9.65929196151544
M628-0228,-9.64113786661569,-9.64113786661569
G199-3638,-10.0556573144787,-9.63715731447868
6208-0118,-9.62780654998175,-9.62780654998175
D600-0214,-9.62594919604695,-9.62594919604695
6042-0072,-9.62109713241357,-9.62109713241357
G199-2097,-10.1209555500096,-9.62105555000964
F431-0026,-9.61468596335527,-9.61468596335527
0812-1027,-9.61375372594156,-9.61375372594156
D600-0216,-9.61156008506766,-9.61156008506766
M628-0303,-9.60362174228127,-9.60362174228127
6466-1149,-9.59675113439989,-9.59675113439989
M628-0174,-9.59513849474249,-9.59513849474249
Y020-4979,-9.77772754495635,-9.58992754495635
J108-0603,-9.57404434407152,-9.57404434407152
G199-3605,-9.98872170330044,-9.57072170330044
J108-0420,-9.56465849882412,-9.56465849882412
F431-0237,-9.56058517165306,-9.56058517165306
C151-0406,-9.55983488167736,-9.55983488167736
